projectname,diff loc,diff blocks,diff % disciplined,diff disciplined
BfgMiner ,35949,415,0.8,392
Busybox,220,298,0.03,277
Cgminer,70644,727,1.71,694
Contiki,125987,1257,-0.38,1149
Dia,12019,-285,11.03,-215
DynamRIO,182654,2697,-1.98,2344
Etlegacy,122801,1163,-3.93,980
FreeBSD,3750479,15786,-1.36,13203
Fvwm,-19999,-156,1.17,-144
GLibc,107892,1391,2.44,1554
GNUPlot,33512,219,-5.94,96
Gawk,18538,237,1.27,229
Glfw,47098,-297,-5.25,-320
H2O,213347,2025,60.93,1745
Ioq3,103807,1689,-2.45,1419
Irssi,10479,-72,8.0,-57
LibPNG,11538,460,-1.21,395
LibSSH,51928,691,-6.36,586
Libevent,17578,274,1.83,249
Libxml2,-7494,-5865,-4.96,-5831
MPVPlayer,39300,-166,4.28,-133
MoarVM,153945,-1884,-1.63,-1770
Msysgit,143180,465,92.69,430
Mupen64,20221,337,-0.02,319
NGinx,48307,730,0.22,697
Numpy,59837,265,7.89,309
OpenSSL,220704,799,2.02,842
OpenVPN,35662,-187,-0.29,-179
Parrot,6231,142,0.92,146
Postgres,329785,626,-0.74,520
Riot,1444051,24424,-27.58,17513
Rspamd,164214,1825,-3.07,1499
Rsyslog,56820,373,1.26,330
Torque,11406,126,-2.8,66
Toxic,23667,246,96.75,238
Vim,101422,-1384,1.54,-912
