project,total files version 0,total files version 1,total removed
Cgminer,347,646,0
Busybox,2813,2427,0
BfgMiner ,347,321,0
project,total files version 0,total files version 1,total removed
FreeBSD,144892,213264,0
Etlegacy,1141,1605,0
DynamRIO,2221,4678,0
Dia,1970,2129,0
Contiki,10071,13726,0
project,total files version 0,total files version 1,total removed
GNUPlot,635,715,0
project,total files version 0,total files version 1,total removed
GLibc,44748,58768,0
Glfw,225,315,0
Gawk,240,427,0
Fvwm,1335,1062,0
project,total files version 0,total files version 1,total removed
LibPNG,192,291,0
Libevent,363,469,0
Irssi,1432,1634,0
Ioq3,2826,4986,0
H2O,107,4277,0
project,total files version 0,total files version 1,total removed
Msysgit,0,1248,0
MPV-Player,1340,1967,0
MoarVM,2993,1728,0
Libxml2,494,581,0
LibSSH,466,986,0
project,total files version 0,total files version 1,total removed
Parrot,1091,1104,0
OpenVPN,753,1129,0
OpenSSL,4366,7645,0
Numpy,970,2277,0
NGinx,1318,1553,0
Mupen64,639,1077,0
project,total files version 0,total files version 1,total removed
Toxic,6,261,0
Torque,10925,9629,0
Rsyslog,758,1127,0
Rspamd,729,2175,0
Riot,1616,44661,0
Postgres,8581,11941,0
project,total files version 0,total files version 1,total removed
Vim,547,825,0
