projectname,version,domain,#LOC,#AA,%disciplined,%IF,%CA,%EI,%PA,%EX,%NC,total disciplined
BfgMiner ,2013,,29367,759,91.96,0.0,0.0,0.0,1.19,0.0,6.85,697
BfgMiner ,2022,,65316,1174,92.76,0.0,0.0,0.0,0.6,0.34,6.3,1089
Busybox,1.21.0,,182915,3523,92.96,0.06,0.0,0.0,0.26,0.6,6.13,3275
Busybox,1.35.0,,183135,3821,92.99,0.05,0.0,0.0,0.26,0.76,5.94,3552
Cgminer,2013,,29367,759,91.96,0.0,0.0,0.0,1.19,0.0,6.85,697
Cgminer,2022,,100011,1486,93.67,0.0,0.0,0.0,0.67,0.34,5.32,1391
Contiki,2013,,214380,5111,93.33,0.0,0.0,0.0,0.04,0.2,6.44,4769
Contiki,2022,,340367,6368,92.95,0.0,0.0,0.0,0.17,0.27,6.61,5918
Dia,2013,,147159,546,85.9,0.0,0.0,0.0,1.1,0.37,12.64,468
Dia,2022,,159178,261,96.93,0.0,0.0,0.0,1.15,0.0,1.92,253
DynamRIO,2013,,205068,5068,92.58,0.0,0.0,0.0,0.28,0.65,6.49,4691
DynamRIO,2022,,387722,7765,90.6,0.0,0.0,0.0,0.31,0.58,8.51,7035
Etlegacy,2013,,227666,868,91.13,0.0,0.0,0.0,0.0,1.04,7.83,791
Etlegacy,2022,,350467,2031,87.2,0.05,0.0,0.0,0.1,1.53,11.13,1771
FreeBSD,2013,,7577740,86810,92.47,0.0,0.0,0.0,0.26,0.45,6.81,80276
FreeBSD,2022,,11328219,102596,91.11,0.0,0.0,0.0,0.21,0.49,8.19,93479
Fvwm,2.6.4,,164704,793,97.73,0.0,0.0,0.0,0.0,0.25,2.02,774
Fvwm,2.6.9,,144705,637,98.9,0.0,0.0,0.0,0.0,0.31,0.78,630
GLibc,2013,,796750,10035,91.63,0.09,0.0,0.0,0.15,0.6,7.53,9195
GLibc,2022,,904642,11426,94.07,0.05,0.0,0.0,0.11,0.37,5.4,10749
GNUPlot,2013,,84258,1370,86.93,0.0,0.0,0.0,0.36,0.8,11.9,1190
GNUPlot,2022,,117770,1589,80.99,0.06,0.0,0.0,0.19,0.38,18.38,1286
Gawk,2013,,35359,728,91.48,0.0,0.0,0.0,0.0,0.55,7.97,665
Gawk,2022,,53897,965,92.75,0.0,0.0,0.0,0.0,0.41,6.84,894
Glfw,2013,,20945,844,97.75,0.0,0.0,0.0,0.0,0.0,2.25,825
Glfw,2022,,68043,547,92.5,0.0,0.0,0.0,0.0,0.18,7.31,505
H2O,2013,,8576,8,25.0,0.0,0.0,0.0,0.0,0.0,75.0,2
H2O,2022,,221923,2033,85.93,0.0,0.0,0.0,0.0,0.25,13.82,1747
Ioq3,2013,,271203,2821,90.54,0.0,0.0,0.0,0.0,0.5,8.97,2553
Ioq3,2022,,375010,4510,88.09,0.0,0.0,0.0,0.04,0.29,11.57,3972
Irssi,2013,,52774,155,88.39,0.0,0.0,0.0,0.0,0.0,11.61,137
Irssi,2022,,63253,83,96.39,0.0,0.0,0.0,0.0,0.0,3.61,80
LibPNG,2013,,43452,1588,91.25,0.0,0.0,0.0,0.06,0.69,8.0,1449
LibPNG,2022,,54990,2048,90.04,0.0,0.0,0.0,0.15,0.59,9.23,1844
LibSSH,2013,,33416,434,95.16,0.0,0.0,0.0,0.0,0.0,4.84,413
LibSSH,2022,,85344,1125,88.8,0.0,0.0,0.0,0.27,0.09,10.84,999
Libevent,2013,,44259,643,84.76,0.0,0.0,0.0,0.0,0.16,15.09,544
Libevent,2022,,61837,917,86.59,0.0,0.0,0.0,0.11,0.0,13.3,793
Libxml2,2013,,216128,9342,96.48,0.0,0.0,0.0,0.0,0.3,3.22,9013
Libxml2,2022,,208634,3477,91.52,0.0,0.0,0.0,0.0,0.6,7.88,3182
MPVPlayer,2013,,100574,651,92.01,0.0,0.0,0.0,0.31,0.31,7.37,599
MPVPlayer,2022,,139874,485,96.29,0.0,0.0,0.0,0.41,0.41,2.89,466
MoarVM,2013,,106078,2386,93.46,0.0,0.0,0.0,0.08,0.04,6.41,2230
MoarVM,2022,,260023,502,91.83,0.0,0.0,0.0,0.0,0.2,7.97,460
Msysgit,2013,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Msysgit,2022,,143180,465,92.69,0.0,0.0,0.0,0.0,0.0,7.31,430
Mupen64,2013,,57029,1650,94.48,0.0,0.0,0.0,0.0,0.0,5.52,1558
Mupen64,2022,,77250,1987,94.46,0.0,0.0,0.0,0.0,0.0,5.54,1877
NGinx,2013,,97458,1133,94.79,0.0,0.0,0.0,0.0,2.38,2.82,1073
NGinx,2022,,145765,1863,95.01,0.0,0.0,0.0,0.0,2.79,2.2,1770
Numpy,2013,,123980,854,83.26,0.0,0.0,0.0,1.87,0.94,13.93,710
Numpy,2022,,183817,1119,91.15,0.0,0.0,0.0,0.0,0.0,8.85,1019
OpenSSL,2013,,292496,5614,89.03,0.02,0.0,0.0,0.02,1.23,9.71,4997
OpenSSL,2022,,513200,6413,91.05,0.0,0.0,0.0,0.06,0.95,7.94,5839
OpenVPN,2013,,59363,1694,93.39,0.0,0.0,0.0,0.59,1.0,5.02,1582
OpenVPN,2022,,95025,1507,93.1,0.0,0.0,0.0,0.46,0.73,5.71,1403
Parrot,2013,,103862,731,97.13,0.0,0.0,0.0,0.0,0.14,2.74,709
Parrot,2022,,110093,873,98.05,0.0,0.0,0.0,0.0,0.11,1.83,855
Postgres,2013,,592651,3367,87.82,0.0,0.0,0.0,0.24,0.65,11.29,2957
Postgres,2022,,922436,3993,87.08,0.0,0.0,0.0,0.15,0.5,12.27,3477
Riot,2013,,27398,215,99.53,0.0,0.0,0.0,0.0,0.0,0.47,213
Riot,2022,,1471449,24639,71.95,0.0,0.0,0.0,0.04,0.02,27.99,17726
Rspamd,2013,,73427,538,86.06,0.0,0.0,0.0,0.0,0.0,13.94,462
Rspamd,2022,,237641,2363,82.99,0.0,0.0,0.0,0.0,0.04,16.97,1961
Rsyslog,2013,,57316,275,86.55,0.0,0.0,0.0,1.45,2.55,9.45,238
Rsyslog,2022,,114136,648,87.81,0.0,0.0,0.0,0.0,1.08,11.11,568
Torque,2013,,277881,1465,88.6,0.0,0.0,0.0,0.14,0.48,10.78,1298
Torque,2022,,289287,1591,85.8,0.0,0.0,0.0,0.13,0.38,13.7,1364
Toxic,2013,,391,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Toxic,2022,,24058,246,96.75,0.0,0.0,0.0,0.0,0.0,3.25,238
Vim,2013,,290012,13109,78.89,0.01,0.0,0.0,0.98,5.45,14.68,10341
Vim,2022,,391434,11725,80.43,0.01,0.0,0.0,0.75,4.72,14.1,9429
