project,old_loc,new_loc,diff_loc,old_annotations,new_annotations,diff_annotations,old_disc,new_disc,diff_disc
BfgMiner,29367,65316,35949,759,1174,415,91.96,92.76,0.80
Busybox,182915,183135,220,3523,3821,298,92.96,92.99,0.03
Cgminer,29367,100011,70644,759,1486,727,91.96,93.67,1.71
Contiki,214380,340367,125987,5111,6368,1257,93.33,92.95,-0.38
Dia,147159,159178,12019,546,261,-285,85.9,96.93,11.03
DynamRIO,205068,387722,182654,5068,7765,2697,92.58,90.6,-1.98
Etlegacy,227666,350467,122801,868,2031,1163,91.13,87.2,-3.93
FreeBSD,7577740,11328219,3750479,86810,102596,15786,92.47,91.11,-1.36
Fvwm,164704,144705,-19999,793,637,-156,97.73,98.9,1.17
GLibc,796750,904642,107892,10035,11426,1391,91.63,94.07,2.44
GNUPlot,84258,117770,33512,1370,1589,219,86.93,80.99,-5.94
Gawk,35359,53897,18538,728,965,237,91.48,92.75,1.27
Glfw,20945,68043,47098,844,547,-297,97.75,92.5,-5.25
H2O,8576,221923,213347,8,2033,2025,25.0,85.93,60.93
Ioq3,271203,375010,103807,2821,4510,1689,90.54,88.09,-2.45
Irssi,52774,63253,10479,155,83,-72,88.39,96.39,8.00
LibPNG,43452,54990,11538,1588,2048,460,91.25,90.04,-1.21
LibSSH,33416,85344,51928,434,1125,691,95.16,88.8,-6.36
Libevent,44259,61837,17578,643,917,274,84.76,86.59,1.83
Libxml2,216128,208634,-7494,9342,3477,-5865,96.48,91.52,-4.96
MPVPlayer,100574,139874,39300,651,485,-166,92.01,96.29,4.28
MoarVM,106078,260023,153945,2386,502,-1884,93.46,91.83,-1.63
Msysgit,0,143180,143180,0,465,465,0.0,92.69,92.69
Mupen64,57029,77250,20221,1650,1987,337,94.48,94.46,-0.02
NGinx,97458,145765,48307,1133,1863,730,94.79,95.01,0.22
Numpy,123980,183817,59837,854,1119,265,83.26,91.15,7.89
OpenSSL,292496,513200,220704,5614,6413,799,89.03,91.05,2.02
OpenVPN,59363,95025,35662,1694,1507,-187,93.39,93.1,-0.29
Parrot,103862,110093,6231,731,873,142,97.13,98.05,0.92
Postgres,592651,922436,329785,3367,3993,626,87.82,87.08,-0.74
Riot,27398,1471449,1444051,215,24639,24424,99.53,71.95,-27.58
Rspamd,73427,237641,164214,538,2363,1825,86.06,82.99,-3.07
Rsyslog,57316,114136,56820,275,648,373,86.55,87.81,1.26
Torque,277881,289287,11406,1465,1591,126,88.6,85.8,-2.80
Toxic,391,24058,23667,0,246,246,0.0,96.75,96.75
Vim,290012,391434,101422,13109,11725,-1384,78.89,80.43,1.54
